Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
3;Métro;GARE DE LYON;34895701;M1;M14;RER A;;;Paris;12
14;Métro;FRANKLIN D. ROOSEVELT;11890240;M1;M9;;;;Paris;8
89;Métro;PORTE DE MONTREUIL;4862314;M9;;;;;Paris;20
131;Métro;VICTOR HUGO;3908009;M2;;;;;Paris;16
145;Métro;POISSONNIERE;3594301;M7;;;;;Paris;10
166;Métro;LAMARCK-CAULAINCOURT;3154666;M12;;;;;Paris;18
228;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2371008;M5;;;;;Pantin;
258;Métro;MONTGALLET;1864016;M8;;;;;Paris;12
285;Métro;RENNES;1297127;M12;;;;;Paris;6
290;Métro;CAMPO-FORMIO;1120960;M5;;;;;Paris;13
32;RER;ARCUEIL-CACHAN;3030150;RER B;;;;;Arcueil;
279;Métro;FRONT POPULAIRE;1486925;M12;;;;;Saint Denis / Aubervilliers;
12;RER;VINCENNES;6426855;RER A;;;;;Vincennes;
13;RER;ANTONY;6282777;RER B;;;;;Antony;
7;Métro;BIBLIOTHEQUE FRANCOIS-MITTERRAND;15472531;M14;;;;;Paris;13
8;Métro;LES HALLES;15347160;M4;;;;;Paris;1
34;Métro;MADELEINE;7475264;M8;M12;M14;;;Paris;8
106;Métro;JULES JOFFRIN;4441668;M12;;;;;Paris;18
176;Métro;COURONNES;3034396;M2;;;;;Paris;11
188;Métro;LA FOURCHE;2904781;M13;M13 JAUNE;M13 BLEUE;;;Paris;8
215;Métro;VILLEJUIF-LEO LAGRANGE;2558494;M7 BLEUE;;;;;Villejuif;
245;Métro;MAISONS-ALFORT-LES JUILLIOTTES;2085806;M8;;;;;Maisons -Alfort;
277;Métro;SULLY-MORLAND;1575223;M7;;;;;Paris;4
59;RER;GIF-SUR-YVETTE;695806;RER B;;;;;Gif sur Yvette;
28;Métro;GARE D'AUSTERLITZ;8375268;M5;M10;;;;Paris;13
48;Métro;SAINT-PAUL;6515486;M1;;;;;Paris;4
97;Métro;GUY MOQUET;4660620;M13 BLEUE;;;;;Paris;17
136;Métro;OURCQ;3792001;M5;;;;;Paris;19
157;Métro;PERNETY;3348989;M13;;;;;Paris;14
159;Métro;PLACE DES FETES;3321050;7bis;M11;;;;Paris;19
51;Métro;MAIRIE DE MONTREUIL;6328612;M9;;;;;Montreuil;
52;Métro;GALLIENI;6316117;M3;;;;;Bagnolet;
54;Métro;GEORGE V;6302761;M1;;;;;Paris;8
60;Métro;MARCEL SEMBAT;5942496;M9;;;;;Boulogne Billancourt;
62;Métro;PORTE DE VINCENNES;5878175;M1;;;;;Paris;12
69;Métro;BERCY;5473870;M6;M14;;;;Paris;12
109;Métro;DENFERT-ROCHEREAU;4339678;M4;M6;;;;Paris;14
115;Métro;JUSSIEU;4202204;M7;M10;;;;Paris;5
140;Métro;GONCOURT;3740119;M11;;;;;Paris;11
141;Métro;PORTE DES LILAS;3724568;M3 bis;M11;;;;Paris;20
239;Métro;VAVIN;2212681;M4;;;;;Paris;14
246;Métro;NOTRE-DAME-DES-CHAMPS;2077450;M12;;;;;Paris;6
265;Métro;QUATRE-SEPTEMBRE;1758632;M3;;;;;Paris;2
276;Métro;SEGUR;1604694;M10;;;;;Paris;15
2;RER;GARE DE LYON-RER;35326982;RER A;;;;;Paris;12
31;RER;PORT ROYAL;3140952;RER B;;;;;Paris;5
36;RER;NOGENT-SUR-MARNE;2810184;RER A;;;;;Nogent-sur-Marne;
47;RER;GENTILLY;1907036;RER B;;;;;Gentilly;
1;Métro;GARE DU NORD;49977513;M4;M5;;;;Paris;10
50;Métro;MARCADET-POISSONNIERS;6381604;M4;M12;;;;Paris;18
92;Métro;PEREIRE;4787487;M3;;;;;Paris;17
99;Métro;PONT DE SEVRES;4557271;M9;;;;;Boulogne Billancourt;
169;Métro;GARIBALDI;3127029;M13 BLEUE;;;;;Saint Ouen;
54;RER;PALAISEAU;933098;RER B;;;;;Palaiseau;
38;Métro;BOBIGNY-PABLO PICASSO;7135266;M5;;;;;Bobigny;
65;Métro;CONVENTION;5792331;M12;;;;;Paris;15
112;Métro;MENILMONTANT;4316980;M2;;;;;Paris;11
129;Métro;VAUGIRARD;3910263;M12;;;;;Paris;15
185;Métro;MAIRIE DE MONTROUGE;2916681;M4;;;;;Montrouge;
43;RER;LE PARC DE SAINT-MAUR;2090558;RER A;;;;;Saint-Maur des Fossés;
93;Métro;LAUMIERE;4726950;M5;;;;;Paris;19
178;Métro;BOUCICAUT;3030137;M8;;;;;Paris;15
226;Métro;RANELAGH;2390818;M9;;;;;Paris;16
234;Métro;IENA;2280935;M9;;;;;Paris;16
237;Métro;EDGAR QUINET;2241317;M6;;;;;Paris;14
283;Métro;PICPUS;1405460;M6;;;;;Paris;12
293;Métro;BOTZARIS;951182;7bis;;;;;Paris;19
37;RER;NOISIEL;2599945;RER A;;;;;Noisiel;
49;RER;LA VARENNE-CHENNEVIERES;1863145;RER A;;;;;saint-Maur des Fossés;
96;Métro;MAIRIE DES LILAS;4673141;M11;;;;;Les Lilas;
152;Métro;PYRENEES;3457271;M11;;;;;Paris;20
163;Métro;CORENTIN CARIOU;3178424;M7;;;;;Paris;19
65;RER;PARC DE SCEAUX;527458;RER B;;;;;Antony;
18;Métro;STRASBOURG-SAINT-DENIS;9751180;M4;M8;M9;;;Paris;2
36;Métro;INVALIDES;7283347;M8;M13;;;;Paris;7
56;Métro;PORTE DE VERSAILLES;6238822;M12;;;;;Paris;15
123;Métro;DUPLEIX;3983127;M6;;;;;Paris;15
147;Métro;PORTE DE CHAMPERRET;3585658;M3;;;;;Paris;17
213;Métro;ABBESSES;2588279;M12;;;;;Paris;18
240;Métro;LA TOUR-MAUBOURG;2152005;M8;;;;;Paris;7
243;Métro;JASMIN;2115456;M9;;;;;Paris;16
249;Métro;BREGUET-SABIN;2038531;M5;;;;;Paris;11
257;Métro;PORTE D'IVRY;1868796;M7 JAUNE;;;;;Paris;13
263;Métro;SAINT-SEBASTIEN-FROISSART;1783783;M8;;;;;Paris;3
264;Métro;RICHARD LENOIR;1767814;M5;;;;;Paris;11
3;RER;LA DEFENSE-RER;30237090;RER A;;;;;Puteaux;
26;RER;TORCY;3524984;RER A;;;;;Torcy;
38;RER;FONTENAY-SOUS-BOIS;2489026;RER A;;;;;Fontenay-sous-Bois;
287;Métro;KLEBER;1260051;M6;;;;;Paris;16
2;Métro;SAINT-LAZARE;44939493;M3;M12;M13;M14;;Paris;8
6;Métro;REPUBLIQUE;16953175;M3;M5;M8;M9;M11;Paris;11
98;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4617843;M1;M13;;;;Paris;8
100;Métro;RAMBUTEAU;4498414;M11;;;;;Paris;3
102;Métro;PORTE DE BAGNOLET;4487998;M3;;;;;Paris;20
104;Métro;ROBESPIERRE;4448864;M9;;;;;Montreuil;
266;Métro;CARDINAL LEMOINE;1715926;M10;;;;;Paris;5
20;RER;DENFERT-ROCHEREAU-RER;4319008;RER B;;;;;Paris;14
30;RER;CHAMPIGNY;3386190;RER A;;;;;Saint-Maur des Fossés;
39;RER;BOISSY-SAINT-LEGER;2249848;RER A;;;;;Boissy-Saint-Léger;
86;Métro;BONNE NOUVELLE;4953438;M8;M9;;;;Paris;10
133;Métro;MALAKOFF-PLATEAU DE VANVES;3852053;M13;;;;;Malakoff;0
155;Métro;PORTE DE LA VILLETTE;3391140;M7;;;;;Paris;19
173;Métro;CHARENTON-ECOLES;3074333;M8;;;;;Charenton;
180;Métro;SIMPLON;2994773;M4;;;;;Paris;18
184;Métro;ARGENTINE;2932686;M1;;;;;Paris;17
195;Métro;COMMERCE;2814912;M8;;;;;Paris;15
196;Métro;ETIENNE MARCEL;2803893;M4;;;;;Paris;1
229;Métro;LES AGNETTES;2368284;M13 JAUNE;;;;;Asnières sur Seine;
259;Métro;SAINT-MARCEL;1853989;M5;;;;;Paris;13
29;Métro;LA MOTTE-PICQUET-GRENELLE;8280583;M6;M8;M10;;;Paris;15
59;Métro;SAINT-MANDE-TOURELLE;6039765;M1;;;;;Saint Mandé;
80;Métro;CROIX DE CHAVAUX;5167717;M9;;;;;Montreuil;
95;Métro;PORTE DE PANTIN;4675965;M5;;;;;Paris;19
116;Métro;BALARD;4189814;M8;;;;;Paris;15
121;Métro;ARTS ET METIERS;4036745;M3;M11;;;;Paris;3
134;Métro;BOULOGNE-JEAN JAURES;3847782;M10;;;;;Boulogne Billancourt;
150;Métro;BROCHANT;3492868;M13 JAUNE;;;;;Paris;17
208;Métro;MAUBERT-MUTUALITE;2631728;M10;;;;;Paris;5
247;Métro;SAINT-JACQUES;2070465;M6;;;;;Paris;13
253;Métro;AVRON;1907820;M2;;;;;Paris;11
284;Métro;PIERRE CURIE;1404039;M7 JAUNE;;;;;Ivry;
28;RER;NANTERRE-VILLE;3424216;RER A;;;;;Nanterre;
48;RER;CHATOU-CROISSY;1905937;RER A;;;;;Chatou;
61;RER;BURES-SUR-YVETTE;649479;RER B;;;;;Bures sur Yvette;
58;Métro;ODEON;6156948;M4;M10;;;;Paris;6
78;Métro;DAUMESNIL;5195589;M6;M8;;;;Paris;12
108;Métro;CRETEIL-PREFECTURE;4349228;M8;;;;;Créteil;
125;Métro;TERNES;3928660;M2;;;;;Paris;17
156;Métro;CORENTIN CELTON;3380242;M12;;;;;Issy Les Moulineaux;
211;Métro;WAGRAM;2617716;M3;;;;;Paris;17
11;RER;RUEIL-MALMAISON;6518344;RER A;;;;;Rueil-Malmaison;
29;RER;VAL D'EUROPE;3392885;RER A;;;;;Serris;
66;RER;LA HACQUINIERE;409864;RER B;;;;;Bures sur Yvette;
47;Métro;PORTE D'ORLEANS;6598073;M4;;;;;Paris;14
70;Métro;LES SABLONS;5439982;M1;;;;;Neuilly Sur Seine;
75;Métro;GABRIEL PERI;5285165;M13 JAUNE;;;;;Asnières;
177;Métro;BOULOGNE-PONT DE SAINT-CLOUD;3033621;M10;;;;;Boulogne Billancourt;
192;Métro;SAINT-PHILIPPE-DU-ROULE;2833206;M9;;;;;Paris;8
202;Métro;PORTE DOREE;2702079;M8;;;;;Paris;12
204;Métro;LOUVRE-RIVOLI;2650897;M1;;;;;Paris;1
303;Métro;EGLISE D'AUTEUIL;183783;M10;;;;;Paris;16
24;Métro;TROCADERO;8973095;M6;M9;;;;Paris;16
79;Métro;PYRAMIDES;5172054;M7;M14;;;;Paris;1
181;Métro;SAINT-AUGUSTIN;2994175;M9;;;;;Paris;8
197;Métro;SAINT-AMBROISE;2780473;M9;;;;;Paris;11
206;Métro;RUE DU BAC;2632889;M12;;;;;Paris;7
212;Métro;TUILERIES;2616916;M1;;;;;Paris;1
227;Métro;CRETEIL-POINTE DU LAC;2384761;M8;;;;;Créteil;
17;RER;NANTERRE-UNIVERSITE;5024403;RER A;;;;;Nanterre;
22;RER;NOISY-CHAMPS;4168244;RER A;;;;;Champs-sur-Marne;
34;RER;LA CROIX DE BERNY;2937840;RER B;;;;;Antony;
5;Métro;GARE DE L'EST;19989528;M4;M5;M7;;;Paris;10
22;Métro;CHARLES DE GAULLE-ETOILE;9067635;M1;M2;M6;;;Paris;8
154;Métro;CRETEIL-UNIVERSITE;3395813;M8;;;;;Créteil;
58;RER;LOZERE;742156;RER B;;;;;Palaiseau;
57;Métro;PIGALLE;6201914;M2;M12;;;;Paris;18
73;Métro;SAINT-DENIS-UNIVERSITE;5357667;M13 BLEUE;;;;;Saint Denis;
82;Métro;PASTEUR;5110865;M6;M12;;;;Paris;9
110;Métro;CHARLES MICHELS;4339534;M10;;;;;Paris;15
126;Métro;FORT D'AUBERVILLIERS;3927340;M7;;;;;Aubervilliers;
160;Métro;PARMENTIER;3305625;M3;;;;;Paris;11
269;Métro;MOUTON-DUVERNET;1688932;M4;;;;;Paris;14
4;RER;NANTERRE-PREFECTURE;23111276;RER A;RER A1;RER A3;RER A5;;Nanterre;
25;RER;SAINT-MAUR-CRETEIL;3645415;RER A;;;;;Saint-Maur des Fossés;
270;Métro;MONCEAU;1654418;M2;;;;;Paris;17
280;Métro;CHEMIN VERT;1483745;M8;;;;;Paris;11
45;Métro;OLYMPIADES;6886845;M14;;;;;Paris;13
236;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2261934;M7 BLEUE;;;;;Villejuif;
271;Métro;CHATEAU-LANDON;1644923;M7;;;;;Paris;10
16;Métro;PLACE D'ITALIE;11534907;M5;M6;M7;;;Paris;13
